날짜,셀퓨전씨,에스네이처,오브제,정샘물뷰티,지베르니,연령대
2024-09-02,22.8676,7.11669,0.26164,44.68864,23.07692,50대
2024-09-09,19.41391,7.11669,0,36.2114,17.0068,50대
2024-09-16,21.29774,7.01203,0.10465,47.25274,19.25693,50대
2024-09-23,21.08843,8.4249,0,45.1596,24.59445,50대
2024-09-30,20.98377,6.75039,0,47.56671,19.36159,50대
2024-10-07,22.34432,5.70381,0,41.28728,16.6405,50대
2024-10-14,20.35583,5.8608,0,35.53113,24.48979,50대
2024-10-21,22.81527,5.65149,0,37.88592,18.52433,50대
2024-10-28,20.09419,5.91313,0,40.29304,16.6405,50대
2024-11-04,21.97802,7.58765,0.26164,47.98534,14.70434,50대
2024-11-11,26.05965,5.07587,0,47.25274,19.62323,50대
2024-11-18,23.12925,8.94819,0.20931,33.6473,12.40188,50대
2024-11-25,25.90266,10.67503,0.10465,32.86237,10.41339,50대
2024-12-02,24.96075,9.31449,0.05232,58.5034,10.41339,50대
2024-12-09,24.75143,7.63997,0.10465,47.25274,8.47723,50대
2024-12-16,27.00156,8.26792,0.10465,37.88592,10.98901,50대
2024-12-23,24.64678,7.53532,0.15698,64.10256,10.41339,50대
2024-12-30,24.28048,7.06436,0,39.50811,10.77969,50대
2025-01-06,22.8676,16.11721,0.10465,42.70015,11.61695,50대
2025-01-13,28.62375,9.62846,0.10465,36.944,9.68079,50대
2025-01-20,28.20512,7.27367,0.05232,37.62428,10.67503,50대
2025-01-27,22.76295,9.26216,0.47095,28.10047,11.19832,50대
2025-02-03,32.28676,9.68079,0.47095,58.55572,14.07639,50대
2025-02-10,27.83882,10.88435,0.05232,47.46206,10.98901,50대
2024-02-05,19.0,6.25,0,26.75,21.0,60대 이상
2024-02-12,21.5,8.0,0.5,39.5,32.0,60대 이상
2024-02-19,29.25,7.25,0,27.5,25.0,60대 이상
2024-02-26,18.75,4.25,0.25,72.5,20.0,60대 이상
2024-03-04,23.75,4.75,0,100.0,38.25,60대 이상
2024-03-11,22.25,8.25,0,91.75,23.0,60대 이상
2024-03-18,40.0,6.25,0,83.0,27.75,60대 이상
2024-03-25,27.25,7.5,0,73.75,42.5,60대 이상
2024-04-01,28.49999,6.0,0,76.25,37.25,60대 이상
2024-04-08,22.5,6.0,0.25,67.25,55.5,60대 이상
2024-04-15,32.5,8.0,0,64.25,56.0,60대 이상
2024-04-22,17.5,7.5,0,59.5,57.5,60대 이상
2024-04-29,25.75,10.5,0,64.25,35.0,60대 이상
2024-05-06,22.25,5.75,0,48.0,47.75,60대 이상
2024-05-13,23.0,10.75,0,38.0,43.5,60대 이상
2024-05-20,22.5,7.0,0,37.75,48.75,60대 이상
2024-05-27,27.75,8.25,0,35.25,37.0,60대 이상
2024-06-03,34.0,9.25,0,34.25,45.75,60대 이상
2024-06-10,29.25,4.75,0,47.0,28.75,60대 이상
2024-06-17,21.25,5.25,0,28.24999,25.75,60대 이상
2024-06-24,20.75,7.25,0,40.99999,27.0,60대 이상
2024-07-01,17.24999,3.25,0,25.25,28.0,60대 이상
2024-07-08,17.75,6.0,0.25,27.25,23.25,60대 이상
2024-07-15,15.75,5.5,0,32.0,38.0,60대 이상
2024-07-22,17.75,8.0,0,47.25,31.5,60대 이상
2024-07-29,18.25,9.5,0,33.25,31.5,60대 이상
2024-08-05,19.25,6.75,0,30.25,22.5,60대 이상
2024-08-12,18.75,4.0,0,33.5,24.0,60대 이상
2024-08-19,16.0,5.0,0,35.0,33.0,60대 이상
2024-08-26,16.5,9.5,0,32.75,35.25,60대 이상
2024-09-02,12.5,6.5,0,45.5,35.5,60대 이상
2024-09-09,16.5,4.75,0,42.25,35.0,60대 이상
2024-09-16,20.25,4.0,0.25,33.75,39.75,60대 이상
2024-09-23,20.49999,5.5,0.75,47.0,38.0,60대 이상
2024-09-30,20.0,6.5,0,45.5,33.0,60대 이상
2024-10-07,20.25,4.75,0,40.5,42.0,60대 이상
2024-10-14,16.75,5.5,0,38.75,49.5,60대 이상
2024-10-21,20.25,2.75,0,35.25,31.5,60대 이상
2024-10-28,17.24999,7.0,0,39.25,36.75,60대 이상
2024-11-04,20.25,10.24999,0,51.75,30.5,60대 이상
2024-11-11,20.0,7.75,0,44.75,30.25,60대 이상
2024-11-18,20.0,7.5,0,29.0,21.5,60대 이상
2024-11-25,22.5,12.75,0,37.5,21.0,60대 이상
2024-12-02,22.25,7.0,0,58.0,19.75,60대 이상
2024-12-09,24.75,7.25,0.25,42.0,17.5,60대 이상
2024-12-16,29.75,5.0,0,42.5,19.0,60대 이상
2024-12-23,25.75,3.25,0,95.5,23.25,60대 이상
2024-12-30,21.5,7.75,0,42.5,17.24999,60대 이상
2025-01-06,29.0,16.75,0,42.25,25.75,60대 이상
2025-01-13,20.75,9.5,0,33.0,21.5,60대 이상
2025-01-20,28.75,7.5,0,39.5,17.0,60대 이상
2025-01-27,19.25,5.25,0.25,24.25,19.75,60대 이상
2025-02-03,39.5,6.75,0.25,55.75,37.0,60대 이상
2025-02-10,21.25,7.5,0,49.25,21.25,60대 이상
