플랫폼,브랜드,제품명,중분류_순위,대분류,중분류,소분류,평점,후기 수,가격,URL
화해,세타필,모이스춰라이징 로션,8,스킨케어,로션_에멀젼,,4.49,1278,21500.0,
화해,피지오겔,DMT 페이셜 로션,9,스킨케어,로션_에멀젼,,4.14,12768,26500.0,
화해,라운드랩,소나무 진정 시카 로션 250ml,10,스킨케어,로션_에멀젼,,4.56,701,22500.0,
화해,시드물,울트라 페이셜 모이스처라이징 로션 80g,11,스킨케어,로션_에멀젼,,4.19,7677,9900.0,
화해,더마비,세라엠디 리페어 로션 400ml 2개,12,스킨케어,로션_에멀젼,,4.6,1176,28500.0,
화해,세라베라,아토 판테놀 로션 180ml+180ml+180ml # 덱스판테놀10%,13,스킨케어,로션_에멀젼,,4.76,433,70200.0,
화해,온그리디언츠,스킨 베리어 카밍 로션 220mL,14,스킨케어,로션_에멀젼,,4.41,328,29750.0,
화해,비플레인,캐모마일 약산성 로션 150ml,15,스킨케어,로션_에멀젼,,4.48,4037,15600.0,
화해,벨프리모,히알베리어 아토 로션 200ml,16,스킨케어,로션_에멀젼,,4.59,371,19600.0,
화해,제로이드,수딩 로션,17,스킨케어,로션_에멀젼,,4.25,2371,30000.0,
화해,에스트라,아토베리어 로션,18,스킨케어,로션_에멀젼,,4.73,228,37000.0,
화해,닥터지,더모이스처 배리어.D 데일리 로션,19,스킨케어,로션_에멀젼,,4.39,404,34000.0,
화해,한율,어린쑥 수분진정 플루이드 125ml,20,스킨케어,로션_에멀젼,,4.63,206,27200.0,
화해,와더스킨,저자극 민감성 브리즈 에센스 플루이드 로션 210ml (1+1),21,스킨케어,로션_에멀젼,,4.5,34,29000.0,
화해,딕셔니스트,아미노산 로션 150ml 더블세트,22,스킨케어,로션_에멀젼,,4.62,149,39000.0,
화해,아누아,어성초 70 데일리 로션 200ml,23,스킨케어,로션_에멀젼,,4.53,138,19900.0,
화해,제로이드,인텐시브 로션,24,스킨케어,로션_에멀젼,,4.34,1027,36000.0,
화해,피지오겔,레드수딩 AI 로션,25,스킨케어,로션_에멀젼,,4.25,1209,22500.0,
화해,마녀공장,비피다 바이옴 앰플 로션 300ml,26,스킨케어,로션_에멀젼,,4.37,605,20500.0,
화해,닥터지,레드 블레미쉬 멀티 플루이드,27,스킨케어,로션_에멀젼,,4.18,5434,95000.0,
화해,뉴트로지나,인텐스 리페어 시카 에멀젼 [무향],28,스킨케어,로션_에멀젼,,4.58,233,22000.0,
화해,일소,데일리 모이스처 소프트닝 로션 150ml,29,스킨케어,로션_에멀젼,,4.61,71,20900.0,
화해,이니스프리,비자 트러블 로션 100mL,30,스킨케어,로션_에멀젼,,4.26,202,12800.0,
화해,시드물,아토 로션 200ml,31,스킨케어,로션_에멀젼,,4.16,2589,7800.0,
화해,투데이위드,소프트 모이스쳐 판테놀 5% 에센스 로션 300ml,32,스킨케어,로션_에멀젼,,4.69,45,29000.0,
화해,세타필,모이스춰라이징 로션,33,스킨케어,로션_에멀젼,,4.49,47,43000.0,
화해,리바이포유,컨트롤로션,34,스킨케어,로션_에멀젼,,4.69,58,29000.0,
화해,아토팜,판테놀 로션 180ml,35,스킨케어,로션_에멀젼,,4.69,51,28500.0,
화해,오울루,버치 아토 모이스처 로션_200ml,36,스킨케어,로션_에멀젼,,4.66,853,40000.0,
화해,닥터지,레드 블레미쉬 밸런싱 에센스 플루이드,37,스킨케어,로션_에멀젼,,4.68,71,32000.0,
화해,리얼베리어,익스트림 로션 150ml,38,스킨케어,로션_에멀젼,,4.45,281,26000.0,
화해,락토덤,피부에 유익한 생보습 바디로션 500ml,39,스킨케어,로션_에멀젼,,4.54,28,24000.0,
화해,에스네이처,블랑쉬로션 200ml 1+1 (2개묶음),40,스킨케어,로션_에멀젼,,4.28,660,29900.0,
화해,더랩바이블랑두,올리고 히알루론산 카밍 + 로션 150ml,41,스킨케어,로션_에멀젼,,4.25,503,17000.0,
화해,닥터바이오,수딩 수분로션,42,스킨케어,로션_에멀젼,,4.86,22,38000.0,
화해,마레도로,미라클 TP-71 로션,43,스킨케어,로션_에멀젼,,4.55,512,35000.0,
화해,엠디스픽,무향 바리스타 리페어 페이스 앤 바디로션 500ml 2개,44,스킨케어,로션_에멀젼,,4.66,244,39200.0,
화해,에뛰드,순정 10무 수분 에멀전,45,스킨케어,로션_에멀젼,,4.28,43,17000.0,
화해,수이스킨,어린 새싹 수분 밸런싱 로션 210ml (2개입),46,스킨케어,로션_에멀젼,,4.52,46,25200.0,
화해,에뛰드,수분가득 콜라겐 에멀전,47,스킨케어,로션_에멀젼,,4.46,437,21000.0,
화해,바론시에,엑토인 로션 200ml,48,스킨케어,로션_에멀젼,,4.81,16,22800.0,
화해,유아른,비건 올인원 로션 110ml,49,스킨케어,로션_에멀젼,,4.67,106,28500.0,
화해,에이솔루션,익스트림 리베리어 에센셜 로션,50,스킨케어,로션_에멀젼,,4.62,199,38000.0,
화해,이니스프리,블랙티 유스 인핸싱 로션 170mL,51,스킨케어,로션_에멀젼,,4.43,84,20300.0,
화해,스킨아이,AC 퓨어 에센셜 로션 150ml,52,스킨케어,로션_에멀젼,,4.68,78,21500.0,
화해,닥터지,블랙 스네일 에멀전,53,스킨케어,로션_에멀젼,,4.45,22,18000.0,
화해,세라비,(해외) 데일리 모이스처라이징 로션,54,스킨케어,로션_에멀젼,,4.36,107,,
화해,야슈브,모이스처라이징 로션,55,스킨케어,로션_에멀젼,,4.59,17,35000.0,
화해,닥터지,하이드라 아쿠아 컴포팅 에멀전,56,스킨케어,로션_에멀젼,,4.92,12,32000.0,
화해,마녀공장,갈락토미 모이스처 로션 100ml,57,스킨케어,로션_에멀젼,,4.33,58,15500.0,
화해,하다라보,고쿠쥰 밀크 140ml,58,스킨케어,로션_에멀젼,,4.29,239,13600.0,
화해,디오디너리,나이아신아마이드 5% 페이스 앤 바디 에멀전,59,스킨케어,로션_에멀젼,,4.63,24,16400.0,
화해,팜트리,데일리케어 로션 [플로럴그린] 300ml,60,스킨케어,로션_에멀젼,,4.85,13,25900.0,
화해,이즈앤트리,알로에 수딩 에멀전 120ml,61,스킨케어,로션_에멀젼,,4.02,174,13900.0,
화해,시드물,울트라 수분 로션 [주니퍼향],62,스킨케어,로션_에멀젼,,4.79,14,9900.0,
화해,시슬리,에뮐씨옹 에꼴로지끄 어드밴스드 포뮬라,63,스킨케어,로션_에멀젼,,4.28,72,195000.0,
화해,헤라,시그니아 에센셜 밸런싱 에멀젼 150ml,64,스킨케어,로션_에멀젼,,4.8,10,76500.0,
화해,프리메라,오가니언스 베리어 리페어 하이드레이션 크림 에멀젼,65,스킨케어,로션_에멀젼,,4.56,32,37000.0,
화해,코스알엑스,오일-프리 울트라 모이스쳐라이징 로션 100ml,66,스킨케어,로션_에멀젼,,4.5,28,16200.0,
화해,바이오가,밀크 프로틴 로션,67,스킨케어,로션_에멀젼,,4.61,41,21500.0,
화해,아벤느,트릭세라 로션,68,스킨케어,로션_에멀젼,,4.05,141,22000.0,
화해,피지오겔,프로 리스토어링 로션,69,스킨케어,로션_에멀젼,,4.51,70,,
화해,싸이닉,히아루론산 로션 150ml (2개),70,스킨케어,로션_에멀젼,,4.15,97,15400.0,
화해,로로비앙,에코세라 판테놀 베베 로션,71,스킨케어,로션_에멀젼,,4.77,97,39200.0,
화해,모나쥬,에코 아토 로션 300ml,72,스킨케어,로션_에멀젼,,4.79,120,33800.0,
화해,시드물,닥터트럽 마일드 로션,73,스킨케어,로션_에멀젼,,3.86,275,16800.0,
화해,마몽드,프로바이오틱스 세라마이드 에멀전,74,스킨케어,로션_에멀젼,,4.56,43,26000.0,
화해,홀리카홀리카,세라베리어 모이스처 액티브 에멀젼 150ml,75,스킨케어,로션_에멀젼,,4.71,21,20000.0,
화해,디오디너리,그랜액티브 레티노이드 2％ 에멀전,76,스킨케어,로션_에멀젼,,4.58,31,14600.0,
화해,이니스프리,그린티 히알루론산 로션 170mL,77,스킨케어,로션_에멀젼,,3.9,177,14700.0,
화해,팜트리,데일리케어 크림 150ml,78,스킨케어,로션_에멀젼,,4.54,57,23900.0,
화해,싸이닉,베이직 옴므 스킨 케어 기프트 세트 [애프터쉐이브에센셜로션],79,스킨케어,로션_에멀젼,,4.64,14,,
화해,퓨어루,데일리 아기 로션 300ml,80,스킨케어,로션_에멀젼,,4.61,137,24700.0,
화해,폴라초이스,10% 아하 바디로션 210ml,81,스킨케어,로션_에멀젼,,4.28,316,39100.0,
화해,세라비,(해외) PM 페이셜 모이스처라이징 로션,82,스킨케어,로션_에멀젼,,4.25,350,,
화해,셀브릭,스킨릴리프 로션,83,스킨케어,로션_에멀젼,,4.67,33,,
화해,라네즈,워터뱅크 블루 히알루로닉 에멀젼 [지·복합용],84,스킨케어,로션_에멀젼,,4.64,14,35000.0,
화해,아누아,복숭아 77 나이아신 컨디셔닝 밀크 150ml,85,스킨케어,로션_에멀젼,,4.29,17,27000.0,
화해,디올,프레스티지 라 로션 에센스 드 로즈,86,스킨케어,로션_에멀젼,,4.75,12,145000.0,
화해,보나쥬르,바이옴 쉴드 5X 세라 로션 150ml,87,스킨케어,로션_에멀젼,,4.5,14,17000.0,
화해,헤라,옴므 에센스 인 에멀젼,88,스킨케어,로션_에멀젼,,4.69,13,42000.0,
화해,닥터505,아토클 로션 250ml,89,스킨케어,로션_에멀젼,,4.72,328,27000.0,
화해,시드물,웰빙 녹차 판테놀 로션,90,스킨케어,로션_에멀젼,,4.25,12,18900.0,
화해,설화수,자음유액,91,스킨케어,로션_에멀젼,,4.38,65,72000.0,
화해,플라스킨,흰두유 릴리프 단백질 로션,92,스킨케어,로션_에멀젼,,4.52,23,25000.0,
화해,시슬리,시슬리아 에센셜 스킨케어 로션,93,스킨케어,로션_에멀젼,,4.47,47,220000.0,
화해,듀이트리,울트라 바이탈라이징 스네일 에멀전 [PX용],94,스킨케어,로션_에멀젼,,4.15,52,34000.0,
화해,바세린,수퍼푸드 바디로션 [그레이프프룻],95,스킨케어,로션_에멀젼,,4.34,108,21800.0,
화해,스킨푸드,로열허니 프로폴리스 인리치 에멀전 160ml 증정 허니마스크 2매,96,스킨케어,로션_에멀젼,,4.24,84,26000.0,
화해,뮤스템,수딩 & 리페어 로션,97,스킨케어,로션_에멀젼,,4.44,136,41000.0,
화해,이즈앤트리,그린티 프레쉬 에멀전 120ml,98,스킨케어,로션_에멀젼,,4.23,35,14000.0,
